icd,icd_desc
E8781,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
3970,Diseases of tricuspid valve
99592,Severe sepsis
3962,Mitral valve insufficiency and aortic valve stenosis
9982,"Accidental puncture or laceration during a procedure, not elsewhere classified"
42823,Acute on chronic systolic heart failure
25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
5856,End stage renal disease
5070,Pneumonitis due to inhalation of food or vomitus
E8788,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
39891,Rheumatic heart failure (congestive)
7464,Congenital insufficiency of aortic valve
44101,"Dissection of aorta, thoracic"
4414,Abdominal aneurysm without mention of rupture
9975,"Urinary complications, not elsewhere classified"
2930,Delirium due to conditions classified elsewhere
V4501,Cardiac pacemaker in situ
4260,"Atrioventricular block, complete"
27801,Morbid obesity
30000,"Anxiety state, unspecified"
9973,Respiratory complications not elsewhere classified
V1251,Personal history of venous thrombosis and embolism
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
42822,Chronic systolic heart failure
7455,Ostium secundum type atrial septal defect
2767,Hyperpotassemia
E8798,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
V4365,Knee joint replacement
78820,"Retention of urine, unspecified"
E8497,Accidents occurring in residential institution
7907,Bacteremia
71590,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
V707,Examination of participant in clinical trial
4400,Atherosclerosis of aorta
0389,Unspecified septicemia
42832,Chronic diastolic heart failure
5939,Unspecified disorder of kidney and ureter
00845,Intestinal infection due to Clostridium difficile
99672,"Other complications due to other cardiac device, implant, and graft"
V4364,Hip joint replacement
2760,Hyperosmolality and/or hypernatremia
99662,"Infection and inflammatory reaction due to other vascular device, implant, and graft"
36201,Background diabetic retinopathy
70703,"Pressure ulcer, lower back"
41402,Coronary atherosclerosis of autologous vein bypass graft
570,Erythema infectiosum (fifth disease)
78039,Other convulsions
V1254,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
4148,Other specified forms of chronic ischemic heart disease
25040,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
2869,Other and unspecified coagulation defects
V103,Personal history of malignant neoplasm of breast
3963,Mitral valve insufficiency and aortic valve insufficiency
5601,Encephalomyelitis due to rubella
99674,"Other complications due to other vascular device, implant, and graft"
6826,"Cellulitis and abscess of leg, except foot"
42741,Ventricular fibrillation
49320,"Chronic obstructive asthma, unspecified"
4210,Acute and subacute bacterial endocarditis
43411,Cerebral embolism with cerebral infarction
4142,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)
42833,Acute on chronic diastolic heart failure
78057,Unspecified sleep apnea
9980,Postoperative shock not elsewhere classified
99831,Disruption of internal operation (surgical) wound
9974,Digestive system complications not elsewhere classified
4928,Other emphysema
4111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
44020,"Atherosclerosis of native arteries of the extremities, unspecified"
4538,Acute venous embolism and thrombosis of other specified veins
56210,Diverticulosis of colon (without mention of hemorrhage)
V1083,Personal history of other malignant neoplasm of skin
2639,Unspecified protein-calorie malnutrition
V433,Heart valve replaced by other means
44021,Atherosclerosis of native arteries of the extremities with intermittent claudication
28521,Anemia in chronic kidney disease
2766,Fluid overload disorder
3004,Dysthymic disorder
48241,Methicillin susceptible pneumonia due to Staphylococcus aureus
79092,Abnormal coagulation profile
42830,"Diastolic heart failure, unspecified"
42820,"Systolic heart failure, unspecified"
51889,"Other diseases of lung, not elsewhere classified"
2874,Secondary thrombocytopenia
2809,"Iron deficiency anemia, unspecified"
4160,Primary pulmonary hypertension
2763,Alkalosis
78552,Septic shock
25050,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
E9342,Anticoagulants causing adverse effects in therapeutic use
42821,Acute systolic heart failure
5533,Diaphragmatic hernia without mention of obstruction or gangrene
44422,Arterial embolism and thrombosis of lower extremity
42781,Sinoatrial node dysfunction
4589,"Hypotension, unspecified"
V090,Infection with microorganisms resistant to penicillins
V153,"Personal history of irradiation, presenting hazards to health"
9972,"Peripheral vascular complications, not elsewhere classified"
3659,Unspecified glaucoma
5570,Acute vascular insufficiency of intestine
51851,Cholera due to vibrio cholerae
43330,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
V1005,Personal history of malignant neoplasm of large intestine
25001,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
27669,Other fluid overload
V4502,Automatic implantable cardiac defibrillator in situ
4239,Unspecified disease of pericardium
44024,Atherosclerosis of native arteries of the extremities with gangrene
99832,Disruption of external operation (surgical) wound
5853,"Chronic kidney disease, Stage III (moderate)"
V422,Heart valve replaced by transplant
41041,"Acute myocardial infarction of other inferior wall, initial episode of care"
70715,Ulcer of other part of foot
41072,"Subendocardial infarction, subsequent episode of care"
7140,Rheumatoid arthritis
43491,"Cerebral artery occlusion, unspecified with cerebral infarction"
E8790,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
99661,"Infection and inflammatory reaction due to cardiac device, implant, and graft"
5789,"Hemorrhage of gastrointestinal tract, unspecified"
4233,Cardiac tamponade
58381,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
04104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
2768,Hypopotassemia
42843,Acute on chronic combined systolic and diastolic heart failure
V5331,Fitting and adjustment of cardiac pacemaker
2765,Volume depletion disorder
3569,Unspecified hereditary and idiopathic peripheral neuropathy
4242,"Tricuspid valve disorders, specified as nonrheumatic"
5118,Other specified forms of pleural effusion except tuberculous
45981,"Venous (peripheral) insufficiency, unspecified"
5997,Hematuria
V1259,Personal history of other diseases of circulatory system
0414,Other forms of chronic ischemic heart disease
27652,Hypovolemia
otherIcd,ICDs not in top 200 
general,General topic
